Band,Frequency_MHz,Core,Material,Core_OD_mm,Turns_Primary,Turns_Secondary,Wire_Type,Wire_AWG,Wire_Length_inches,Winding_Style,Max_Power_W,Impedance_Transformation,Insertion_Loss_dB,Primary_Application,Comments
160M,1.8,FT-240-43×2,43 (µ=850),61×2,4,8,"#14 enameled",14,150,"Bifilar primary + secondary","400","200Ω-unbal → 50Ω-unbal (4:1)","0.35","Random wire antennas, 200Ω feedpoints","Two FT-240-43 cores stacked. 4:8 ratio = 2:1 turns = 4:1 impedance. Broad HF coverage."
80M,3.75,FT-240-43,43 (µ=850),61,4,8,"#14 enameled",14,140,"Bifilar primary + secondary","450","200Ω-unbal → 50Ω-unbal (4:1)","0.25","Random wire antennas, 200Ω feedpoints","Single FT-240-43. Standard 4:1 unun configuration for HF random wires."
40M,7.15,FT-240-43,43 (µ=850),61,3,6,"#14 enameled",14,120,"Bifilar primary + secondary","450","200Ω-unbal → 50Ω-unbal (4:1)","0.20","Random wire antennas, 200Ω feedpoints","Three-to-six turns. Optimized for 40M-10M coverage. Good impedance match."
30M,10.125,FT-240-43,43 (µ=850),61,3,6,"#14 enameled",14,120,"Bifilar primary + secondary","450","200Ω-unbal → 50Ω-unbal (4:1)","0.18","Random wire antennas, 200Ω feedpoints","Three-to-six. Compact, good bandwidth."
20M,14.2,FT-140-43,43 (µ=850),35.6,3,6,"#16 enameled",16,100,"Bifilar primary + secondary","280","200Ω-unbal → 50Ω-unbal (4:1)","0.15","Random wire antennas, 200Ω feedpoints","FT-140-43 adequate for 20M+. Lighter than FT-240."
17M,18.1,FT-140-43,43 (µ=850),35.6,2,4,"#16 enameled",16,80,"Bifilar primary + secondary","280","200Ω-unbal → 50Ω-unbal (4:1)","0.13","Random wire antennas, 200Ω feedpoints","Two-to-four turns. Upper HF, lower inductance needed."
15M,21.2,FT-140-43,43 (µ=850),35.6,2,4,"#16 enameled",16,80,"Bifilar primary + secondary","280","200Ω-unbal → 50Ω-unbal (4:1)","0.11","Random wire antennas, 200Ω feedpoints","Two-to-four. Broad 15M-10M multi-band coverage."
12M,24.93,FT-140-43,43 (µ=850),35.6,2,4,"#16 enameled",16,80,"Bifilar primary + secondary","280","200Ω-unbal → 50Ω-unbal (4:1)","0.10","Random wire antennas, 200Ω feedpoints","Two-to-four. Very compact form factor."
10M,28.4,FT-140-43,43 (µ=850),35.6,2,4,"#16 enameled",16,80,"Bifilar primary + secondary","280","200Ω-unbal → 50Ω-unbal (4:1)","0.09","Random wire antennas, 200Ω feedpoints","Two-to-four. At upper limit for ferrite toroids."
6M,51.0,FT-140-61,61 (µ=125),35.6,1,2,"#18 enameled",18,50,"Bifilar primary + secondary","200","200Ω-unbal → 50Ω-unbal (4:1)","0.15","Rare at VHF; some 200Ω-fed loop designs","FT-140-61 for VHF. One-to-two turns (minimal core usage)."
2M,145.0,FT-140-61,61 (µ=125),35.6,1,2,"#20 enameled",20,35,"Bifilar primary + secondary","150","200Ω-unbal → 50Ω-unbal (4:1)","0.08","Not common; very few 200Ω antennas at 2M","One-to-two turns. Impedance determined primarily by wire geometry."
1.25M,223.0,"Air-core (2-inch)",,50,2,4,"#20 enameled",20,70,"Bifilar air-core transmission line","100","200Ω-unbal → 50Ω-unbal (4:1)","0.05","Not practical; design coaxial or lumped-element ununs instead.","Air-core becomes bulky. Coaxial better at VHF."
70cm,432.0,"Air-core (1.5-inch)",,38,1,2,"#22 enameled",22,35,"Bifilar air-core transmission line","80","200Ω-unbal → 50Ω-unbal (4:1)","0.03","Not recommended; consider stub tuning or lumped designs.","Very tight winding. Difficult to construct reliably."
33cm,902.0,"Not practical",,,,,,"","Not recommended","Use lumped-element or stripline designs.","Toroidal transformers obsolete above ~1 GHz."
20cm,1296.0,"Not practical",,,,,,"","Not recommended","Use stripline or planar unun designs.","Wire-wound toroids no longer practical."
