Band,Freq_MHz,Coax_Type,Former_Diam_mm,Turns,Winding_Length_mm,Coax_Length_m,Coax_Length_ft,Inductance_uH,Capacitance_pF,Actual_Freq_MHz,Error_pct,Q_Factor,Rp_Ohm,BW_3dB_kHz,Trap_Type,Notes
160M,1.850,RG-213,120.0,14,146.1,5.35,17.56,14.281,518.2,1.8501,+0.00,214,35520,8.6,PARALLEL,Former 120mm dia. Trim with 51-25pF capacitor for fine tune. Weatherseal with self-amalgamating tape.
160M,1.850,RG-8X,100.0,16.5,100.9,5.15,16.90,18.149,405.5,1.8553,+0.28,185,39040,10.1,PARALLEL,Former 100mm dia. Trim with 40-20pF capacitor for fine tune. Weatherseal with self-amalgamating tape.
160M,1.850,RG-58,80.0,18.5,92.1,4.67,15.34,17.016,437.1,1.8455,-0.25,166,32664,11.1,PARALLEL,Former 80mm dia. Trim with 43-21pF capacitor for fine tune. Weatherseal with self-amalgamating tape.
80M,3.750,RG-213,90.0,11,111.1,3.05,10.02,6.133,295.6,3.7381,-0.32,151,21682,24.8,PARALLEL,Former 90mm dia. Trim with 29-14pF capacitor for fine tune. Weatherseal with self-amalgamating tape.
80M,3.750,RG-8X,76.0,12.5,75.6,2.94,9.64,7.830,231.1,3.7413,-0.23,130,23918,28.8,PARALLEL,Former 76mm dia. Trim with 23-11pF capacitor for fine tune. Weatherseal with self-amalgamating tape.
80M,3.750,RG-58,60.0,14,69.8,2.66,8.72,7.278,248.5,3.7425,-0.20,116,19894,32.2,PARALLEL,Former 60mm dia. Trim with 24-12pF capacitor for fine tune. Weatherseal with self-amalgamating tape.
40M,7.150,RG-213,76.0,7.5,77.2,1.79,5.88,2.871,173.3,7.1340,-0.22,109,14024,65.5,PARALLEL,Former 76mm dia. Trim with 17-8pF capacitor for fine tune. Weatherseal with self-amalgamating tape.
40M,7.150,RG-8X,60.0,9,56.6,1.73,5.69,3.588,136.5,7.1920,+0.59,94,15197,76.7,PARALLEL,Former 60mm dia. Trim with 13-6pF capacitor for fine tune. Weatherseal with self-amalgamating tape.
40M,7.150,RG-58,50.0,10,49.0,1.56,5.10,3.373,145.4,7.1870,+0.52,84,12776,85.7,PARALLEL,Former 50mm dia. Trim with 14-7pF capacitor for fine tune. Weatherseal with self-amalgamating tape.
30M,10.125,RG-213,60.0,7.5,75.1,1.38,4.51,1.849,133.2,10.1413,+0.16,91,10768,111.0,PARALLEL,Former 60mm dia. Trim with 13-6pF capacitor for fine tune. Weatherseal with self-amalgamating tape.
30M,10.125,RG-8X,50.0,8.5,52.3,1.34,4.38,2.378,105.1,10.0693,-0.55,79,11915,127.1,PARALLEL,Former 50mm dia. Trim with 10-5pF capacitor for fine tune. Weatherseal with self-amalgamating tape.
30M,10.125,RG-58,40.0,9.5,47.5,1.21,3.96,2.215,112.8,10.0688,-0.56,71,9932,142.1,PARALLEL,Former 40mm dia. Trim with 11-5pF capacitor for fine tune. Weatherseal with self-amalgamating tape.
20M,14.175,RG-213,50.0,7,70.0,1.07,3.50,1.230,103.4,14.1105,-0.46,77,8452,182.1,PARALLEL,Former 50mm dia. Trim with 10-5pF capacitor for fine tune. Weatherseal with self-amalgamating tape.
20M,14.175,RG-8X,40.0,8,50.4,1.03,3.38,1.547,81.1,14.2075,+0.23,67,9211,213.1,PARALLEL,Former 40mm dia. Trim with 8-4pF capacitor for fine tune. Weatherseal with self-amalgamating tape.
