Band,Freq_MHz_center,Former_mm,Former_in,Target_L_uH,AWG,Turns,Wound_length_mm,DC_resistance_ohm,Q_factor,f_SRF_MHz,SRF_Warning
160m,1.9,25,0.984,10,24,20,13.0,0.1320,656.1,9.9,
160m,1.9,25,0.984,80,24,99,64.4,0.6537,1060.1,1.6,WARN
160m,1.9,51,2.008,10,22,11,8.8,0.0927,934.4,12.1,
160m,1.9,51,2.008,80,22,42,33.6,0.3540,1957.0,2.2,WARN
160m,1.9,76,2.992,10,20,9,9.0,0.0712,1216.8,11.9,
160m,1.9,76,2.992,80,20,30,30.0,0.2373,2920.5,2.3,WARN
80m,3.75,25,0.984,5,24,13,8.5,0.1021,708.7,17.4,
80m,3.75,25,0.984,40,24,55,35.8,0.4320,1339.9,3.0,WARN
80m,3.75,51,2.008,5,22,8,6.4,0.0674,902.5,20.0,
80m,3.75,51,2.008,40,22,26,20.8,0.2190,2222.7,3.9,WARN
80m,3.75,76,2.992,5,20,6,6.0,0.0475,1281.7,20.7,
80m,3.75,76,2.992,40,20,19,19.0,0.1503,3239.3,4.1,WARN
60m,5.35,25,0.984,3,24,9,5.9,0.0594,734.0,27.1,
60m,5.35,25,0.984,25,24,38,24.7,0.2982,1448.4,4.6,WARN
60m,5.35,51,2.008,3,22,6,4.8,0.0506,862.6,29.9,
60m,5.35,51,2.008,25,22,19,15.2,0.1600,2271.8,5.8,WARN
60m,5.35,76,2.992,3,20,5,5.0,0.0395,1103.3,29.3,
60m,5.35,76,2.992,25,20,15,15.0,0.1186,3063.8,5.9,WARN
40m,7.15,25,0.984,2,24,7,4.6,0.0550,726.4,37.6,
40m,7.15,25,0.984,15,24,26,16.9,0.2042,1466.2,7.1,WARN
40m,7.15,51,2.008,2,22,5,4.0,0.0421,796.6,40.1,
40m,7.15,51,2.008,15,22,14,11.2,0.1174,2145.0,8.8,WARN
40m,7.15,76,2.992,2,20,4,4.0,0.0316,1061.1,40.1,
40m,7.15,76,2.992,15,20,11,11.0,0.0868,2902.5,8.8,WARN
30m,10.125,25,0.984,1,24,5,3.3,0.0330,605.4,62.9,
30m,10.125,25,0.984,10,24,20,13.0,0.1320,1514.3,9.9,WARN
30m,10.125,51,2.008,1,22,3,2.4,0.0253,791.0,73.2,
30m,10.125,51,2.008,10,22,11,8.8,0.0927,2156.1,12.1,WARN
30m,10.125,76,2.992,1,20,3,3.0,0.0237,842.5,65.5,
30m,10.125,76,2.992,10,20,9,9.0,0.0712,2808.4,11.9,WARN
20m,14.175,25,0.984,0.5,24,3,2.0,0.0236,597.0,114.8,
20m,14.175,25,0.984,7,24,16,10.4,0.1347,1567.8,13.3,WARN
20m,14.175,51,2.008,0.5,22,2,1.6,0.0169,701.6,126.8,
20m,14.175,51,2.008,7,22,9,7.2,0.0758,2182.3,16.0,WARN
20m,14.175,76,2.992,0.5,20,2,2.0,0.0158,747.5,113.4,
20m,14.175,76,2.992,7,20,7,7.0,0.0555,2981.9,16.2,WARN
17m,18.118,25,0.984,0.3,24,3,2.0,0.0236,405.1,148.2,
17m,18.118,25,0.984,5,24,13,8.5,0.1021,1557.7,17.4,WARN
17m,18.118,51,2.008,0.3,22,2,1.6,0.0169,475.9,163.7,
17m,18.118,51,2.008,5,22,8,6.4,0.0674,1984.0,20.0,WARN
17m,18.118,76,2.992,0.3,20,1,1.0,0.0079,1014.4,207.0,
17m,18.118,76,2.992,5,20,6,6.0,0.0475,2817.9,20.7,WARN
15m,21.225,25,0.984,0.2,24,2,1.3,0.0157,438.4,222.4,
15m,21.225,25,0.984,4,24,11,7.2,0.0864,1594.0,21.2,WARN
15m,21.225,51,2.008,0.2,22,1,0.8,0.0084,686.6,283.5,
15m,21.225,51,2.008,4,22,7,5.6,0.0590,1960.8,24.0,WARN
15m,21.225,76,2.992,0.2,20,1,1.0,0.0079,731.6,253.6,
15m,21.225,76,2.992,4,20,5,5.0,0.0395,2927.0,25.4,WARN
12m,24.94,25,0.984,0.2,24,2,1.3,0.0157,475.3,222.4,
12m,24.94,25,0.984,3,24,9,5.9,0.0709,1583.8,27.1,WARN
12m,24.94,51,2.008,0.2,22,1,0.8,0.0084,744.2,283.5,
12m,24.94,51,2.008,3,22,6,4.8,0.0506,1861.5,29.9,WARN
12m,24.94,76,2.992,0.2,20,1,1.0,0.0079,793.4,253.6,
12m,24.94,76,2.992,3,20,5,5.0,0.0395,2380.0,29.3,WARN
10m,28.85,25,0.984,0.1,24,1,0.7,0.0066,511.3,444.7,
10m,28.85,25,0.984,2.5,24,8,5.2,0.0528,1596.9,31.4,WARN
10m,28.85,51,2.008,0.1,22,1,0.8,0.0084,400.4,401.0,
10m,28.85,51,2.008,2.5,22,5,4.0,0.0421,2001.8,35.9,WARN
10m,28.85,76,2.992,0.1,20,1,1.0,0.0079,426.7,358.6,
10m,28.85,76,2.992,2.5,20,4,4.0,0.0316,2666.9,35.9,WARN
6m,52.0,25,0.984,0.05,24,1,0.7,0.0066,343.3,629.1,
6m,52.0,25,0.984,1,24,5,3.3,0.0330,1371.2,62.9,WARN
6m,52.0,51,2.008,0.05,22,1,0.8,0.0084,268.7,566.9,
6m,52.0,51,2.008,1,22,3,2.4,0.0253,1792.5,73.2,WARN
6m,52.0,76,2.992,0.05,20,1,1.0,0.0079,286.4,507.1,
6m,52.0,76,2.992,1,20,3,3.0,0.0237,1909.4,65.5,WARN
