// TM-VCAP-CAL-003 Rev A  Variable Capacitor Voltage and Current Ratings
//
// THEORY:
//   For a capacitor in a series or parallel resonant circuit:
//   V_C_peak = I_peak × X_C = I_peak / (2πfC)
//   I_peak   = √(2 × P_watts / R_load)   [for resistive load R_load]
//   P_loss   = I_peak² × R_ESR / 2       [average power dissipation in ESR]
//   R_ESR    = X_C / Q                   [equivalent series resistance]
//
//   In an antenna tuner with mismatch ratio M (M=SWR at tuner input):
//   V_peak_tuner = √(2 × P_watts × 50) × √M    [approx for high-Q network]
//   I_peak_tuner = √(2 × P_watts / 50) × √M
//
//   Tank circuit voltage multiplication: V_C = Q_tank × V_source_pk
//   Typical Q_tank = 10-20 for pi/L networks at HF
//
// HIGH VOLTAGE WARNING: At 100W with Q=10 tank, V_C_peak can exceed 2kV!
//   At 500W with Q=15 tank at 14 MHz with C=50pF:
//   X_C = 1/(2π×14e6×50e-12) = 227Ω
//   I_peak = √(2×500/50) × 15 = 141A (!)  — this is why thick plates matter
//   V_C_peak = 141 × 227 = 32,000V — requires VC-TX with 4000V working rating!
//
// Power handling in DIRECT connection (no tank Q multiplication):
//   VC in series with antenna: V_C = I × X_C
//   VC in shunt across 50Ω feed: V_C = V_feed = √(2 × P × 50)
//     100W: V_peak = 100V
//     500W: V_peak = 224V  ← within VC-QRP rating!
//
// The DANGEROUS case is the tank/tuner network with high-Q and mismatch
//
design_id,freq_mhz,band,C_setting_pF,X_C_ohm,P_watts_at_Vwork,I_peak_at_Vwork_A,V_peak_working_kV,Q_tank_for_Vrating,notes
VC-QRP,14.175,20m,350,32.1,0.3,6.2,0.200,1.0,"Shunt cap: 200V → P_shunt=0.4W; Tank: V=200V → P=Q²×200²/(2×X_C)→Q≤1 for 10W"
VC-QRP,14.175,20m,100,112.6,0.09,1.8,0.200,1.0,""
VC-QRP,28.500,10m,50,111.6,0.09,1.8,0.200,1.0,"Reduced C needed at 10m; X_C rises — higher V per amp"
VC-QRP,7.150,40m,300,74.3,0.14,2.7,0.200,1.0,"40m QRP tuner shunt cap; 200V sufficient for 10W"
VC-HF100,14.175,20m,225,50.0,11.3,15.0,1.500,3.0,"Tuner shunt, 100W, Q=3: V_pk=3×100V=300V < 1500V OK"
VC-HF100,14.175,20m,100,112.6,5.0,6.7,1.500,5.0,"Series cap 100W; higher Q safe: Q=5 → V=500V < 1500V OK"
VC-HF100,7.150,40m,200,111.3,5.1,9.0,1.500,3.0,"100W portable tuner; 40m; Q=3 → V=450V < 1500V OK"
VC-HF100,3.750,80m,220,193.0,2.9,7.8,1.500,2.0,"80m: higher X_C; lower Q tank advised; Q=2 → V=300V"
VC-HF100,1.900,160m,225,373.0,1.5,4.0,1.500,1.5,"160m: X_C=373Ω; keep Q≤1.5 → V=550V < 1500V OK; borderline"
VC-TX,14.175,20m,84,133.7,2380,60,4.000,15.0,"Pi-net 500W Q=15: I_pk=60A; V_pk=8kV > 4kV! Use less C or lower Q"
VC-TX,14.175,20m,84,133.7,595,30,4.000,7.5,"Pi-net 500W Q=7.5: I_pk=30A; V_pk=4kV = limit; marginal"
VC-TX,14.175,20m,50,225.5,354,20,4.000,5.0,"Pi-net 500W Q=5: V=4.5kV → still above limit; see note below"
VC-TX,14.175,20m,20,563.8,57,5,4.000,2.0,"Pi-net 100W low-Q: V=1.1kV << 4kV; wide safety margin"
VC-TX,7.150,40m,84,265.0,121,15,4.000,7.5,"40m 200W Q=7.5: I=15A; V=4kV = limit; use 4mm spacing minimum"
VC-TX,3.750,80m,60,707.0,114,8,4.000,5.0,"80m 200W Q=5: V=4kV; at 500W would need wider spacing"
VC-VHF,51.000,6m,47,65.9,1.9,3.8,0.500,2.0,"6m 50W shunt; Q=2 → V=100V; VHF ratings ample"
VC-VHF,146.000,2m,20,54.5,2.3,4.6,0.500,2.0,"2m 50W; X_C=54Ω; I=4.6A peak; well within rating"
VC-VHF,222.000,1.25m,10,71.7,1.7,3.5,0.500,2.0,"1.25m 50W; 10pF practical lower limit"
VC-UHF,446.000,70cm,12,29.8,0.67,3.4,0.200,2.0,"70cm 10W; I=3.4A peak; check contact resistance"
VC-UHF,906.000,33cm,5,35.1,0.57,2.9,0.200,2.0,""
VC-UHF,1296.000,23cm,3,40.9,0.49,2.4,0.200,2.0,"SRF=1450 MHz; only 12% above 1296 MHz — use minimum lead length"
//
// DERATING GUIDELINES:
// - Reduce V_working by 20% for each 10°C above 25°C ambient
// - Reduce V_working by 50% in humid/salt-air environments (corona onset lower)
// - Never exceed 80% of rated working voltage in normal service
// - Tank circuit Qmax for safe operation: Q ≤ V_working / (V_pk_at_power × √2)
// - Plate current: I_rms ≤ I_peak / √2; plate heating P = I_rms² × R_contact
//   Typical R_contact (spring brush on brass shaft): 5-50 mΩ
//   At I_rms=42A (60A peak): P_heat = 42² × 0.01 = 17.6W → needs active cooling!
