Band,freq_MHz,Match_topology,Source_Z_ohm,Load_Z_ohm,Q_factor,Series_L_uH,Series_L_turns,Core_series,Shunt_C_pF,Var_C_range_pF,L_network_Xs_ohm,L_network_Xp_ohm,Gamma_rod_frac,Counterpoise_L_m,Choke_turns,Choke_core,Notes
160m,1.900,L_network_LPF,50,35,0.655,2.40,20,T68-2_2stack,2040,500-5000,22.9,76.4,n/a,38.3,10,FT-240-31,"Series L=2.4uH; shunt C=2040pF variable; 20T on 2x T68-2 stacked; 500pF fixed + 500-4000pF variable trimmer; choke is 10T on FT-240-31"
80m,3.750,L_network_LPF,50,36,0.643,0.975,11,T50-2,583,100-1000,23.1,77.8,n/a,19.4,8,FT-240-31,"Series L=0.975uH; shunt C=583pF; 11T on T50-2; 470pF NP0 fixed + 0-120pF trimmer"
40m,7.150,L_network_LPF,50,37,0.632,0.524,7,T50-2,467,50-500,23.4,79.2,n/a,10.2,8,FT-240-43,"Series L=0.524uH; shunt C=467pF; 7T on T50-2; 390pF NP0 + 0-82pF variable"
30m,10.125,L_network_LPF,50,37,0.632,0.370,6,T50-6,330,30-300,23.4,79.2,n/a,7.19,6,FT-240-43,"Series L=0.370uH; shunt C=330pF; 6T on T50-6; 270pF NP0 + 0-68pF variable"
20m,14.175,L_network_LPF,50,38,0.621,0.262,5,T50-6,237,20-200,23.6,80.5,n/a,5.13,6,FT-240-43,"Series L=0.262uH; shunt C=237pF; 5T on T50-6; 180pF NP0 + 0-56pF variable"
17m,18.118,L_network_LPF,50,38,0.621,0.205,4,T50-6,185,15-150,23.6,80.5,n/a,4.01,6,FT-140-43,"Series L=0.205uH; shunt C=185pF; 4T on T50-6; 150pF NP0 + 0-39pF trimmer"
15m,21.225,L_network_LPF,50,38,0.621,0.175,4,T50-6,158,10-120,23.6,80.5,n/a,3.43,4,FT-140-43,"Series L=0.175uH; shunt C=158pF; 4T on T50-6; 120pF NP0 + 0-39pF trimmer"
12m,24.940,gamma_match,50,38,0.621,0.149,3,T50-6,134,8-100,23.6,80.5,0.15,2.92,4,FT-140-43,"Gamma rod 15% of element length; gamma cap 0-100pF; or L-net as above"
10m,28.500,gamma_match,50,38,0.621,0.130,3,T50-6,118,5-82,23.6,80.5,0.15,2.55,4,FT-140-43,"Gamma match preferred; series cap 50-100pF adj; gamma rod 15%"
6m,51.000,gamma_match,50,35,0.655,0.072,2,T37-10,60,3-30,23.0,76.4,0.15,1.40,3,FT-114-43,"Gamma match; 2T air-core 5mm dia; shunt C 0-30pF variable SMD"
2m,146.000,coaxial_sleeve,50,50,1.000,n/a,n/a,coax_sleeve,n/a,n/a,n/a,n/a,n/a,0.488,5,coax_choke,"Hairpin or gamma match; sleeve balun preferred; 50 ohm coaxial feed direct"
1.25m,222.000,coaxial_sleeve,50,50,1.000,n/a,n/a,coax_sleeve,n/a,n/a,n/a,n/a,n/a,0.321,4,coax_choke,"N-type connector; sleeve balun 3cm sleeve; coaxial vertical design"
70cm,446.000,N_direct,50,50,1.000,n/a,n/a,direct,n/a,n/a,n/a,n/a,n/a,0.160,3,coax_choke,"Direct 50-ohm feed; N-type connector; ferrite bead choke on coax"
33cm,906.000,SMA_direct,50,50,1.000,n/a,n/a,direct,n/a,n/a,n/a,n/a,n/a,0.0785,2,ferrite_bead,"Direct SMA feed; SMD choke on PCB; integrate into PCB design"
20cm,1297.000,SMA_direct,50,50,1.000,n/a,n/a,direct,n/a,n/a,n/a,n/a,n/a,0.0549,2,ferrite_bead,"Direct SMA feed; PCB stripline or coaxial element; quarter-wave stub counterpoise"
