Trap_band,Trap_freq_MHz,Core_type,Core_material,AL_nH_per_t2,Target_L_uH,Actual_L_uH,Turns_N,Wire_gauge,Wire_type,Target_C_pF,Actual_C_pF,C_composition,C_type,Trap_Z_ohm_at_res,Trap_Q,Insertion_loss_dB,Trap_OD_mm,Trap_length_mm,Position_from_feed_m,Notes
160m,1.900,T68-2,Mix2_red,57,15.0,15.236,16,#22,enameled_copper,466,470,470pF_single,NP0_500V,4800,180,0.18,17.5,25,38.29,"16T on T68-2; wire length approx 22cm; Ql~180 at 1.9MHz"
80m,3.750,T68-2,Mix2_red,57,5.0,5.130,9,#22,enameled_copper,360,360,360pF_single,NP0_500V,6200,210,0.13,17.5,18,19.40,"9T on T68-2; wire length 14cm; use 360pF NP0"
40m,7.150,T50-2,Mix2_red,49,2.401,2.401,7,#24,enameled_copper,218,220,220pF_single,NP0_500V,7400,230,0.10,12.7,15,10.18,"7T on T50-2; verify resonance with dip meter"
30m,10.125,T50-6,Mix6_yellow,40,1.500,1.440,6,#24,enameled_copper,172,150+22,150pF+22pF_NPO,NP0_200V,8200,240,0.09,12.7,12,7.19,"6T on T50-6; 150+22pF in parallel = 172pF"
20m,14.175,T50-6,Mix6_yellow,40,1.000,1.000,5,#26,enameled_copper,127,120+6.8,120pF+6.8pF,NP0_200V,9100,250,0.08,12.7,10,5.13,"5T on T50-6; 120+6.8pF = 126.8pF"
17m,18.118,T50-6,Mix6_yellow,40,0.640,0.640,4,#26,enameled_copper,121,120,120pF_single,NP0_200V,9600,255,0.07,12.7,9,4.01,"4T on T50-6; single 120pF NP0"
15m,21.225,T50-6,Mix6_yellow,40,0.500,0.490,3.5,#28,enameled_copper,113,100+12,100pF+12pF,NP0_200V,9800,255,0.07,12.7,8,3.43,"Use 3T (360nH) or 4T (640nH); choose 4T+100pF or wind to 500nH; 3.5T not practical - use 4T+100pF=640nH; adjust to 21.225MHz"
12m,24.940,T50-6,Mix6_yellow,40,0.360,0.360,3,#28,enameled_copper,112,100+12,100pF+12pF,NP0_200V,9900,255,0.07,12.7,7,2.92,"3T on T50-6; 100+12=112pF"
10m,28.500,T50-6,Mix6_yellow,40,0.250,0.250,2.5,#28,enameled_copper,126,120+6.8,120pF+6.8pF,NP0_100V,10200,260,0.06,12.7,6,2.55,"Use 2T(160nH)+150pF=10m; or 3T(360nH)+87pF=10m. Use 3T+82pF=88pF"
6m,51.000,T37-10,Mix10_black,32,0.128,0.128,2,#30,enameled_copper,76,75+2.2,75pF+2.2pF,NP0_100V,11000,200,0.08,9.5,6,1.40,"2T on T37-10 (128nH); 77pF total; SMD 0805 caps"
2m,146.000,air_core,air,n/a,0.050,0.050,3,#26,solid_tinned,23.7,22,22pF_single,NP0_SMD,11500,150,0.12,6.0,6,0.488,"3T air-core; 5mm dia; 1mm pitch; 22pF NP0 SMD 0805"
1.25m,222.000,air_core,air,n/a,0.025,0.025,2,#26,solid_tinned,20.6,20,20pF_single,NP0_SMD,12000,120,0.15,5.0,5,0.321,"2T air-core; 4mm dia; 20pF NP0 SMD 0805"
70cm,446.000,stripline,PCB,n/a,0.010,0.010,1.5,PCB_trace,FR4_50ohm,12.8,12,12pF_single,NP0_SMD,12500,80,0.20,PCB,PCB,0.160,"Microstrip stub trap or SMD LC on PCB; 12pF NP0"
33cm,906.000,stripline,PCB,n/a,0.003,0.003,1,PCB_trace,FR4_50ohm,10.2,10,10pF_single,NP0_SMD,13000,60,0.30,PCB,PCB,0.0785,"Microstrip LC or coaxial stub; 10pF SMD"
20cm,1297.000,stripline,PCB,n/a,0.002,0.002,1,PCB_trace,FR4_50ohm,7.6,7.5,7.5pF_single,NP0_SMD,13500,50,0.40,PCB,PCB,0.0549,"Microstrip or coaxial stub resonator; 7.5pF SMD"
