Step_count,Turns_from_bottom,L_calc_uH,Resonant_freq_MHz_est,Nearest_band,Notes
0,0.000,0.0000,999.9,N/A,Home position; wiper at bottom; essentially bare whip; no loading
1000,0.270,0.0117,346.773,UHF,Near-home; coil just engaged; sub-VHF resonance
1875,0.505,0.0405,186.399,VHF,About 0.5T in circuit; still above 2m band
3513,0.947,0.1382,100.924,VHF,Just under 1 full turn; resonant above 2m
4673,1.260,0.2398,76.626,10m,10m BAND POINT — 1.26T active; 4673 steps from home
6583,1.774,0.4607,55.266,6m,Midpoint between 10m and 12m; near 6m resonance
8087,2.180,0.6786,45.538,12m,12m BAND POINT — 2.18T active; 8087 steps from home
11501,3.100,1.3014,32.883,15m,15m BAND POINT — 3.10T active; 11501 steps from home
12336,3.325,1.4785,30.851,15m,Midpoint region; between 15m and 17m
15433,4.160,2.2116,25.225,17m,17m BAND POINT — 4.16T active; 15433 steps from home; tap turn 4 is here
22296,6.010,4.2030,18.298,20m,20m BAND POINT — 6.01T active; 22296 steps from home
23117,6.231,4.4704,17.742,20m,Just above 20m; useful for tuning margin
35514,9.573,9.0968,12.438,30m,30m BAND POINT — 9.57T active; 35514 steps from home
43318,11.676,12.4536,10.630,30m,Midpoint between 30m and 40m
57653,15.540,19.2389,8.553,40m,40m BAND POINT — 15.54T active; 57653 steps from home
81173,21.880,31.5238,6.681,60m,Midpoint between 40m and 60m
88113,23.750,35.3362,6.311,60m,60m BAND POINT — 23.75T active; 88113 steps from home
100000,26.954,44.5698,5.305,60m,Between 60m and 80m; useful for odd-frequency mobile nets
110000,29.649,53.2386,4.853,80m,Approaching 80m; usable for 75m phone
120000,32.345,62.3208,4.485,80m,Mid-coil; between 60m top and 80m center
130000,35.040,71.3671,4.198,80m,Near 80m; lower portion of 80m band (3.8 MHz range)
140000,37.736,80.5893,3.944,80m,Upper coil; pushing below 80m band
152110,41.000,72.6792,4.400,80m,MAXIMUM POSITION — 41 full turns; 80m BAND POINT; note: Wheeler L=72.68uH; do not exceed this position
