Band,Center_freq_MHz,L_required_uH,Xant_ohms,Rrad_ohms,Rcoil_ohms,Eff_pct,Core_type,N_turns,Wire_AWG,Form_OD_mm,Wind_length_mm,Q_est,Zfeed_ohms,L_net_Xs_ohms,L_net_Xp_ohms,C_shunt_pF,Notes
160m,1.900,144.6,-1730,0.124,6.919,1.8,T200-2 (AL=150),31,#22AWG,50.8,45,250,7.04,17.4,20.2,4137,"Series L tunes out Xant; Zfeed=7.04 Ω; L-net Q=2.47; C_shunt=4137pF across 50Ω port; N=31T on T200-2; efficiency very low — needs excellent radial system (8–16 radials λ/4 or longer)"
80m,3.750,35.5,-833,0.484,2.975,14.0,T130-2 (AL=110),18,#20AWG,33.0,30,280,3.46,12.7,13.6,3114,"N=18T on T130-2; Zfeed=3.46 Ω; L-net Q=3.67; C_shunt=3114pF; efficiency marginal — 4–8 radials improve Rrad effectively; consider mobile-style loading coil at 50% whip point"
60m,5.330,16.3,-543,0.977,1.906,33.9,T130-2 (AL=110),12,#20AWG,33.0,25,285,2.88,11.7,12.4,2414,"N=12T on T130-2; Zfeed=2.88 Ω; L-net Q=4.04; C_shunt=2414pF; 60m WARC band — usable portable efficiency with elevated counterpoise"
40m,7.150,7.85,-352,1.758,1.137,60.7,T106-2 (AL=135),8,#18AWG,26.9,20,310,2.90,11.7,12.4,1796,"N=8T on T106-2; Zfeed=2.90 Ω; L-net Q=4.03; C_shunt=1796pF; efficiency acceptable for field use; 2–4 elevated radials adequate"
30m,10.125,2.477,-158,3.525,0.494,87.7,T50-2 (AL=49),7,#18AWG,12.7,15,320,4.02,13.6,14.8,1063,"N=7T on T50-2; Zfeed=4.02 Ω; L-net Q=3.38; C_shunt=1063pF; near-resonant — high efficiency; single elevated radial viable; small form-factor coil"
20m,14.175,N/A,+36,6.913,N/A,N/A,No coil — series NP0 cap,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Xant=+36 Ω (inductive); cancel with 300pF series NP0 capacitor; whip slightly long at 5.6m; can also retract one section to ~5.13m for near-resonance; Rrad ≈6.9 Ω — good efficiency"
17m,18.118,N/A,-19,5.787,N/A,N/A,No coil — retract to QW,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Retract to 4.01m (6 sections); residual Xant=-19 Ω trimmed by slight extension or small series L; near-resonant at QW length; no loading coil required"
15m,21.225,N/A,-18,5.807,N/A,N/A,No coil — retract to QW,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Retract to 3.43m (5 sections); residual Xant=-18 Ω; trim by extending tip ~2–3mm or small fixed cap"
12m,24.940,N/A,-18,5.825,N/A,N/A,No coil — retract to QW,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Retract to 2.92m (4 sections); Xant=-18 Ω residual; self-resonant with slight adjustment"
10m,28.500,N/A,-19,5.788,N/A,N/A,No coil — retract to QW,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Retract to 2.55m (4 sections); residual -19 Ω; generous adjustment range on 4-section configuration"
