Band,Center_freq_MHz,Lambda_m,QW_bare_m,VF,QW_physical_m,Whip_5p6m_vs_QW,Extension_m,Sections_extended,Loading_type,Xant_ohms,Notes
160m,1.900,157.89,39.47,0.97,38.29,SHORT — whip is 14.2% of QW,5.60,7,Base loading coil required,-1730,"Extend all 7 sections; large series L needed; add 4x λ/20 radials or ground mat; Eff ≈1.8%"
80m,3.750,80.00,20.00,0.97,19.40,SHORT — whip is 28.9% of QW,5.60,7,Base loading coil required,-833,"Extend all 7 sections; moderate series L; 4–8 radials recommended; Eff ≈14%"
60m,5.330,56.28,14.07,0.97,13.65,SHORT — whip is 41.0% of QW,5.60,7,Base loading coil required,-543,"Extend all 7 sections; usable efficiency with good radials; Eff ≈34%"
40m,7.150,41.96,10.49,0.97,10.18,SHORT — whip is 55.0% of QW,5.60,7,Base loading coil required,-352,"Extend all 7 sections; near half-QW — reasonable performance; Eff ≈61%"
30m,10.125,29.63,7.41,0.97,7.19,SHORT — whip is 77.9% of QW,5.60,7,Base loading coil required,-158,"Extend all 7 sections; small coil; Eff ≈88%; near-resonant with modest L"
20m,14.175,21.16,5.29,0.97,5.13,SLIGHTLY LONG — whip is 109.2% of QW,5.60,7,Series capacitor (NP0 ~300pF),+36,"Extend all 7 sections or retract one; series 300pF NP0 trims to resonance; Rrad ≈6.9 Ω"
17m,18.118,16.56,4.14,0.97,4.01,LONG — retract to QW,4.01,6,None — retract to QW,-19,"Retract to 4.01m (6 sections); residual -19 Ω trims with small series L or slight extension"
15m,21.225,14.14,3.53,0.97,3.43,LONG — retract to QW,3.43,5,None — retract to QW,-18,"Retract to 3.43m (5 sections); residual -18 Ω; trim with mm-scale extension"
12m,24.940,12.02,3.01,0.97,2.92,LONG — retract to QW,2.92,4,None — retract to QW,-18,"Retract to 2.92m (4 sections); residual -18 Ω; extend tip section slightly or trim cap"
10m,28.500,10.53,2.63,0.97,2.55,LONG — retract to QW,2.55,4,None — retract to QW,-19,"Retract to 2.55m (4 sections); residual -19 Ω; final trim via tip-section extension"
6m,51.000,5.88,1.47,0.95,1.40,LONG — retract to QW (rod VF=0.95),1.40,2,None — retract to QW,-30,"Retract to 1.40m (2 sections); VF=0.95 for solid rod; radials or ground plane essential"
2m,146.000,2.055,0.514,0.95,0.488,LONG — retract to QW,0.488,1,None — retract tip section,-31,"Tip section only at ~488mm; mechanical rigidity limits trimming; SO-239 flange ground plane"
1.25m,222.000,1.351,0.338,0.95,0.321,LONG — retract to QW,0.321,1,None — tip section stub,-31,"Tip section trimmed to 321mm; coaxial flange or sleeve balun ground plane required"
70cm,446.000,0.672,0.168,0.95,0.160,LONG — tip section or trim stub,0.160,1,None — tip section stub,-30,"Tip section trimmed to 160mm; consider sleeve dipole or collinear for gain; strict ground plane"
33cm,906.000,0.331,0.083,0.95,0.079,LONG — tip section or stub,0.079,1,Trim stub or monopole fixture,-32,"83mm tip only; telescopic whip unsuitable above ~500 MHz without custom fixture; use SMA stub"
20cm,1270.000,0.236,0.059,0.95,0.056,LONG — stub antenna,0.056,1,Dedicated stub antenna,-32,"56mm stub; beyond practical range of whip; use dedicated 1/4-wave SMA stub or helical"
