ANTENNA SPECIFICATION — ACTIVE RECEIVING,,,
,,,
Parameter,Value,Unit,Notes
Frequency bands,160M–6M,,Center/allocated bands
Design approach,Preamp loop or small broadband antenna with low-noise amp,,Primary design method
Compaction factor,0%,,Size reduction vs full-size
Special parameters,"Broadband 1.8–54 MHz, LNA 0.8 dB figure",,Design-specific details
,,,
Feed impedance,50,Ω,Standard amateur radio
SWR target,<1.5,:1,At band center
Radiation pattern,Varies,,See NEC model
Polarization,Linear,,Or circular for arrays
,,,
Typical efficiency,80–95%,%,Band-dependent
Typical gain,2–10,dBi,Type-dependent
,,,
NEC model file,active_receiving.nec,,See electromagnetic simulation
Construction manual,active_receiving.md,,Step-by-step procedures
