TRAP SPECIFICATIONS — ALL BANDS,,,,,
Band,Freq (MHz),L (μH),C (pF),Form Size,Turns*,Coil Len (in)
160m,1.900,233.890,30.0,"1.5"" PVC",156,3.95
80m,3.750,72.051,25.0,"1"" PVC",65,1.65
40m,7.150,33.032,15.0,"3/4"" PVC",30,0.76
30m,10.125,20.591,12.0,"3/4"" PVC",17,0.34
20m,14.175,12.606,10.0,"3/4"" PVC",11,0.22
17m,18.118,9.646,8.0,"1/2"" PVC",10,0.20
15m,21.225,8.032,7.0,"1/2"" PVC",8,0.13
12m,24.940,6.787,6.0,"1/2"" PVC",7,0.11
10m,28.850,6.087,5.0,"1/2"" PVC",6,0.10
6m,52.000,2.342,4.0,"3/8"" PVC",3,0.04
2m,146.000,0.396,3.0,"3/8"" PVC",1,0.01
1.25m,222.500,0.256,2.0,"1/4"" FR4",1,0.01
70cm,435.000,0.089,1.5,"1/4"" ceramic",0,0.00
33cm,915.000,0.030,1.0,"1/8"" ceramic",0,0.00
20cm,1270.000,0.020,0.8,"1/8"" ceramic",0,0.00
,,,,,,
*Turns are for loading coil; trap uses parallel LC resonator
