WINDING TABLES — ALL BANDS,,,,,,,
Band,f (MHz),L_coil (μH),Turns,Form,Wire (AWG),Wire Len (m),Coil Len (in)
160m,1.900,295.97,156,"1.5"" PVC",22,18.7,3.95
80m,3.750,75.98,65,"1"" PVC",22,6.5,1.65
40m,7.150,20.90,30,"3/4"" PVC",22,2.5,0.76
30m,10.125,10.42,17,"3/4"" PVC",24,1.4,0.34
20m,14.175,5.32,11,"3/4"" PVC",24,0.9,0.22
17m,18.118,3.25,10,"1/2"" PVC",24,0.6,0.20
15m,21.225,2.37,8,"1/2"" PVC",26,0.5,0.13
12m,24.940,1.72,7,"1/2"" PVC",26,0.4,0.11
10m,28.850,1.28,6,"1/2"" PVC",26,0.4,0.10
6m,52.000,0.40,3,"3/8"" PVC",28,0.1,0.04
2m,146.000,0.05,1,"3/8"" PVC",28,0.0,0.01
1.25m,222.500,0.02,1,"1/4"" FR4",30,0.0,0.01
70cm,435.000,0.01,0,"1/4"" ceramic",30,0.0,0.00
33cm,915.000,0.00,0,"1/8"" ceramic",30,0.0,0.00
20cm,1270.000,0.00,0,"1/8"" ceramic",30,0.0,0.00
