ANTENNA SPECIFICATION — DOUBLE_BAZOOKA,,,
,,,
Parameter,Value,Unit,Notes
Frequency bands,"40M, 20M",,Center/allocated bands
Design approach,"Balanced parallel-wire dipole, inherent balun",,Primary design method
Compaction factor,0%,,Size reduction vs full-size
Special parameters,"300Ω twin-lead sections, high impedance, excellent BW",,Design-specific details
,,,
Feed impedance,50,Ω,Standard amateur radio
SWR target,<1.5,:1,At band center
Radiation pattern,Varies,,See NEC model
Polarization,Linear,,Or circular for arrays
,,,
Typical efficiency,80–95%,%,Band-dependent
Typical gain,2–10,dBi,Type-dependent
,,,
NEC model file,double_bazooka.nec,,See electromagnetic simulation
Construction manual,double_bazooka.md,,Step-by-step procedures
