ANTENNA SPECIFICATION — ELEVATED-RADIALS,,,
,,,
Parameter,Value,Unit,Notes
Frequency bands,"160M, 80M, 40M",,Center/allocated bands
Design approach,Vertical with elevated radial system (no ground needed),,Primary design method
Compaction factor,30%,,Size reduction vs full-size
Special parameters,"8–16 radials at 1.5–2m height, shortening coils",,Design-specific details
,,,
Feed impedance,50,Ω,Standard amateur radio
SWR target,<1.5,:1,At band center
Radiation pattern,Varies,,See NEC model
Polarization,Linear,,Or circular for arrays
,,,
Typical efficiency,80–95%,%,Band-dependent
Typical gain,2–10,dBi,Type-dependent
,,,
NEC model file,elevated_radials.nec,,See electromagnetic simulation
Construction manual,elevated_radials.md,,Step-by-step procedures
