ANTENNA SPECIFICATION — EXTENDED_DOUBLE_ZEPP,,,
,,,
Parameter,Value,Unit,Notes
Frequency bands,"40M, 20M, 15M, 10M",,Center/allocated bands
Design approach,1.25λ dipole with end-fed high-Z configuration,,Primary design method
Compaction factor,0%,,Size reduction vs full-size
Special parameters,"300Ω twin-lead, 50+ ft length, pattern sharpening",,Design-specific details
,,,
Feed impedance,50–600,Ω,Antenna-type dependent
SWR target,<2.0,:1,With tuner if required
Radiation pattern,Varies,,See NEC model
,,,
Typical efficiency,75–95%,%,Design-dependent
Typical gain,2–10,dBi,Antenna-type dependent
