ANTENNA SPECIFICATION — FOLDED-DIPOLE-3CONDUCTOR,,,
,,,
Parameter,Value,Unit,Notes
Frequency bands,40M–10M,,Center/allocated bands
Design approach,"Three-wire folded dipole, 450Ω feedpoint",,Primary design method
Compaction factor,0%,,Size reduction vs full-size
Special parameters,"Triple radiator, high impedance, narrow bandwidth",,Design-specific details
,,,
Feed impedance,50–600,Ω,Antenna-type dependent
SWR target,<2.0,:1,With tuner if required
Radiation pattern,Varies,,See NEC model
,,,
Typical efficiency,75–95%,%,Design-dependent
Typical gain,2–10,dBi,Antenna-type dependent
