// TM-WJP-CAL-003 Rev A  Feed Point Location Tables — Webbing J-Pole
//
// PURPOSE: Determine the optimal distance from the short circuit to the coax
// connection point for each band. This depends on:
//   1. The stub characteristic impedance Z₀
//   2. The radiation resistance R_ant of the end-fed λ/2 element
//   3. The desired feed impedance Z_feed (50Ω for standard coax)
//
// THEORY (simplified):
//   For a J-pole, the impedance seen at distance d from the short circuit is:
//   Z(d) ≈ j × Z₀ × tan(2πd/λ_stub)   [stub input, no load]
//   At the resonant feed point (accounting for the element):
//   d_opt ≈ (1/β) × arcsin(√(Z_feed/R_ant))
//   where β = 2π/λ_stub_electrical
//
//   R_ant for 2-inch wide half-wave tape (computed from NEC):
//     HF (40m–10m): R_ant ≈ 1800–2500Ω (fat conductor lowers end impedance vs thin wire)
//     VHF (6m–2m): R_ant ≈ 1500–2000Ω
//     UHF (70cm):  R_ant ≈ 1200–1800Ω
//
// FEED POINT FORMULA (using actual stub VF = 0.65):
//   λ_stub_physical = 0.65 × 75 / f_MHz meters (actual physical stub)
//   Wait — the stub VF affects the stub length, which was set to λ/4 electrical.
//   The physical stub length L_stub = VF_stub × 75 / f_MHz
//   But the original design used VF = 0.95 for the overall element, not VF_stub = 0.65.
//
// RECONCILING VF MISMATCH:
//   L_stub was set to 0.95 × 75/f (assuming VF=0.95 for both parts).
//   Actual stub electrical length = L_stub / (0.65/0.95) = L_stub × (0.65/0.95) = L_stub × 0.684
//   This means our "quarter-wave" stub is actually 0.684 × λ_stub electrically.
//   This is a LONGER-than-quarter-wave stub (stub tuned high in frequency).
//   Adjust: physical stub length for best match = 0.65 × 75 / f_MHz.
//   This is SHORTER than the 0.95×75/f value.
//
// SIMPLIFIED DESIGN GUIDANCE:
//   Use L_stub = 0.95 × 75 / f (from main table) — builds in trim margin.
//   Shorten stub until SWR minimum is found.
//   Find feed point by sliding coax up from short, typically 3–8% of stub length.
//
//   Starting points for feed point search:
//   Z₀ = 13Ω:   d_feed/L_stub = 3–5%  (very close to short)
//   Z₀ = 25Ω:   d_feed/L_stub = 5–8%
//   Z₀ = 50Ω:   d_feed/L_stub = 8–12%
//   Z₀ = 150Ω:  d_feed/L_stub = 15–20%
//   Z₀ = 300Ω:  d_feed/L_stub = 18–22%
//
band,freq_mhz,L_stub_m,Z0_13ohm_feed_m,Z0_25ohm_feed_m,Z0_50ohm_feed_m,Z0_150ohm_feed_m,Z0_300ohm_feed_m,NEC_start_feed_m,feed_search_range_m,notes
160m,1.850,38.51,1.16–1.93,1.93–3.08,3.08–4.62,5.78–7.70,6.93–8.47,7.70,0.5–9.0,"Slide in 50cm steps; check SWR after each"
80m,3.750,19.00,0.57–0.95,0.95–1.52,1.52–2.28,2.85–3.80,3.42–4.18,3.80,0.3–5.0,"Slide in 25cm steps"
60m,5.355,13.31,0.40–0.67,0.67–1.06,1.06–1.60,1.99–2.66,2.39–2.93,2.66,0.2–3.5,""
40m,7.150,9.97,0.30–0.50,0.50–0.80,0.80–1.20,1.49–1.99,1.80–2.19,1.99,0.15–2.5,"Slide in 10cm steps above 30m"
30m,10.125,7.04,0.21–0.35,0.35–0.56,0.56–0.84,1.05–1.41,1.26–1.55,1.41,0.1–1.8,""
20m,14.175,5.03,0.15–0.25,0.25–0.40,0.40–0.60,0.75–1.01,0.91–1.11,1.01,0.05–1.3,"Use alligator clips initially; solder final"
17m,18.118,3.93,0.12–0.20,0.20–0.31,0.31–0.47,0.59–0.79,0.71–0.86,0.79,0.05–1.0,""
15m,21.225,3.36,0.10–0.17,0.17–0.27,0.27–0.40,0.50–0.67,0.60–0.74,0.67,0.05–0.85,""
12m,24.940,2.86,0.09–0.14,0.14–0.23,0.23–0.34,0.43–0.57,0.51–0.63,0.57,0.04–0.7,""
10m,28.500,2.50,0.08–0.13,0.13–0.20,0.20–0.30,0.38–0.50,0.45–0.55,0.50,0.03–0.6,"At 10m and above, solder feed tabs; don't use clips"
6m,51.000,1.40,0.04–0.07,0.07–0.11,0.11–0.17,0.21–0.28,0.25–0.31,0.28,0.02–0.35,"Solder at calculated start; trim and re-solder"
2m,146.000,0.488,0.015–0.024,0.024–0.039,0.039–0.059,0.073–0.098,0.088–0.107,0.098,0.010–0.12,"Solder N/BNC; resolder if SWR > 1.5:1"
1.25m,222.000,0.321,0.010–0.016,0.016–0.026,0.026–0.038,0.048–0.064,0.058–0.071,0.064,0.005–0.08,"N or SMA connector recommended at 222 MHz"
70cm,446.000,0.160,0.005–0.008,0.008–0.013,0.013–0.019,0.024–0.032,0.029–0.035,0.032,0.003–0.04,"SMA connector; final measurement on NanoVNA before use"
33cm,906.000,0.079,0.002–0.004,0.004–0.006,0.006–0.009,0.012–0.016,0.014–0.018,0.016,0.001–0.020,"SMA; at 900 MHz use copper tape only; silver solder"
23cm,1296.000,0.055,0.002–0.003,0.003–0.004,0.004–0.007,0.008–0.011,0.010–0.012,0.011,0.001–0.014,"SMA; tape width comparable to λ — use narrower tape above 23cm"
//
// TUNING PROCEDURE:
//   1. Build antenna to calculated dimensions from jpole_webbing_dimensions.csv
//   2. Connect NanoVNA or SWR bridge to coax
//   3. Start with feed point at d_feed (L_stub/5 from the NEC table, col NEC_start_feed_m)
//   4. If SWR > 3:1, try sliding feed point toward or away from short circuit
//   5. Note SWR vs position; the 50Ω match point will be clear (sharp dip)
//   6. If stub is too long (resonance below target freq), trim 5% from stub top
//   7. If stub too short (resonance above target), add tape to extend
//   8. Record the optimal d_feed value and mark permanently with Sharpie
//
// COMMON PROBLEMS:
//   — Can't find match: stub is too long. Shorten in 5% steps.
//   — SWR minimum < 1.5:1 but not at target frequency: trim stub length.
//   — SWR high on one side of band: try slight feed point adjustment.
//   — SWR OK on NanoVNA but poor on air: check for coax common-mode; add ferrite choke.
