// TM-WJP-CAL-001 Rev A  Webbing J-Pole Antenna Dimensions — All HF/VHF/UHF Bands
//
// CONSTRUCTION:
//   Strip A (front face): 2-inch aluminum or copper tape, full length (L_rad + L_stub)
//   Strip B (back face):  2-inch aluminum or copper tape, stub length only (L_stub)
//   Substrate: 3-inch lawn chair webbing (nylon)
//   Short circuit: fold bottom edge and tape front/back together
//   Feed: coax SMA/BNC at d_feed from short-circuited bottom
//
// VELOCITY FACTOR:
//   VF = 0.95 applied to both elements. This accounts for:
//     - Large conductor width (2-inch) shortens effective electrical length slightly
//     - Single-side nylon substrate adds ~5% dielectric loading
//   Adjust by trimming: build slightly long, trim from top for resonance.
//   For stub with full nylon fill (face-to-face), use VF = 0.78 — see tape_transmission_line.csv
//   For the radiating element (single face, mostly air), VF = 0.95 is appropriate.
//
// FORMULAS:
//   L_rad = VF × 150 / f_MHz   [meters, half-wave radiating element]
//   L_stub = VF × 75 / f_MHz   [meters, quarter-wave matching stub]
//   L_total = L_rad + L_stub    [total tape/webbing length]
//   d_feed = L_stub / 5         [feed point from short, ~λ/20 starting point — ADJUST to SWR min]
//   Tape A length = L_total (full length, front face)
//   Tape B length = L_stub only (back face, stub section only)
//   Webbing length = L_total
//
// WEIGHTS (approximate):
//   Aluminum tape (2-inch): 3.6 g/m
//   Copper tape (2-inch): 10.2 g/m
//   3-inch nylon webbing: 11.4 g/m
//   Total (Al): (3.6 × L_total) + (3.6 × L_stub) + (11.4 × L_total) = 15.0 × L_total + 3.6 × L_stub
//   Total (Cu): (10.2 × L_total) + (10.2 × L_stub) + (11.4 × L_total) = 21.6 × L_total + 10.2 × L_stub
//
// STUB IMPEDANCE: ~14Ω (face-to-face 2-inch tape on 3mm nylon, parallel-plate approximation)
// This is LOW; feed point must be close to the shorted end. See feed_point_tables.csv.
//
band,freq_mhz,VF,L_rad_m,L_stub_m,L_total_m,d_feed_m,L_rad_ft,L_stub_ft,L_total_ft,d_feed_in,L_rad_in,L_stub_in,L_total_in,tape_A_m,tape_B_m,webbing_m,weight_Al_g,weight_Cu_g,practical,notes
160m,1.850,0.95,76.99,38.51,115.49,7.70,252.6,126.3,378.9,303.5,3031.4,1516.1,4547.6,115.49,38.51,115.49,1817,2581,"Not recommended — 115m roll; reference only","Extremely long; would require large mast or kite deployment"
80m,3.750,0.95,38.00,19.00,57.00,3.80,124.7,62.3,187.0,149.6,1496.1,748.0,2244.1,57.00,19.00,57.00,897,1274,"Possible — 57m roll; portable with large field","3m wide strap roll, manageable; deploy between two trees"
60m,5.355,0.95,26.61,13.31,39.92,2.66,87.3,43.7,130.9,104.7,1047.8,523.9,1571.7,39.92,13.31,39.92,629,892,"Possible — 40m roll","US 60m band 5.330–5.405 MHz; use 5.368 MHz center"
40m,7.150,0.95,19.93,9.97,29.90,1.99,65.4,32.7,98.1,78.4,784.9,392.3,1177.2,29.90,9.97,29.90,483,684,"Recommended — 30m roll; good portable antenna","Primary portable HF band; 30m strap fits in daypack"
30m,10.125,0.95,14.07,7.04,21.11,1.41,46.2,23.1,69.3,55.4,554.2,277.1,831.2,21.11,7.04,21.11,342,484,"Excellent — 21m roll","WARC band; fits in small stuff sack"
20m,14.175,0.95,10.05,5.03,15.08,1.01,33.0,16.5,49.5,39.6,395.6,197.8,593.3,15.08,5.03,15.08,244,346,"Excellent — 15m roll; standard portable","Most-used HF band; a common J-pole length"
17m,18.118,0.95,7.87,3.93,11.80,0.79,25.8,12.9,38.7,31.0,309.8,154.9,464.6,11.80,3.93,11.80,191,270,"Excellent — 12m roll","WARC band; compact"
15m,21.225,0.95,6.72,3.36,10.07,0.67,22.0,11.0,33.0,26.4,264.3,132.1,396.4,10.07,3.36,10.07,163,231,"Excellent — 10m roll","Contest favourite"
12m,24.940,0.95,5.71,2.86,8.57,0.57,18.8,9.4,28.1,22.5,224.9,112.5,337.3,8.57,2.86,8.57,139,197,"Excellent — 9m roll","WARC band; very compact"
10m,28.500,0.95,5.00,2.50,7.50,0.50,16.4,8.2,24.6,19.7,196.9,98.4,295.3,7.50,2.50,7.50,121,172,"Excellent — 7.5m roll","Most compact HF; good for wire antenna mast"
